"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","16","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","24","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","2","1","0.000000","0","0"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","0","12","1","0.000000","0","0"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","0","24","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","0","2","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","0","8","1","0.000000","0","0"
"/OpenXR/Devices/M_XRController.M_XRController","0","0","24","2","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","4","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","72","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","98","1","0.000000","0","0"
"/Game/Weapons/Materials/Launcher_MatB.Launcher_MatB","0","0","87","1","0.000000","0","87"
"/Game/Weapons/Materials/Launcher_MatA.Launcher_MatA","0","0","87","1","0.000000","0","87"
"/Game/Effects/Materials/Weapon/M_WP_LinkGun_MF_3_new.M_WP_LinkGun_MF_3_new","0","0","30","1","0.000000","0","0"
"/Game/Effects/Materials/Explosion/M_explosion_subUV.M_explosion_subUV","0","0","24","1","0.000000","0","0"
"/Game/Effects/Materials/Energy/M_WP_ShockRifle_Ring.M_WP_ShockRifle_Ring","0","0","30","1","0.000000","0","0"
"/Game/Effects/Materials/Energy/M_Electrical.M_Electrical","0","0","30","1","0.000000","0","0"
"/Game/Weapons/Materials/MagGun_SightLens_Mat.MagGun_SightLens_Mat","0","0","16","1","0.000000","0","0"
